Company Name,Laptop Name,RAM (GB),Storage Type,Storage Size (GB),Processor Company,Processor Details,Graphics Card (GB),GPU Details,Weight (kg),Screen Size (inches),OS,Laptop Type,Price (INR),,,,,,,,,,,,,
MSI,GE73VR 7RF,16,SSD + HDD,256+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.8,17.3,Windows,Gaming,195600,,,,,,,,,,,,,
MSI,GV62 7RD-1686NL,8,SSD,256,Intel,7th Gen i5,2,NVIDIA GeForce GTX 1050,2.2,15.6,Windows,Gaming,89499,,,,,,,,,,,,,
MSI,GT73VR Titan,16,SSD + HDD,512+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,4.14,17.3,Windows,Gaming,237499,,,,,,,,,,,,,
MSI,GT80S 6QE,16,SSD + HDD,128+1024,Intel,6th Gen i7,8,NVIDIA GeForce GTX 980M,4.5,17.3,Windows,Gaming,204000,,,,,,,,,,,,,
MSI,GT62VR 7RE,16,SSD + HDD,256+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.94,15.6,Windows,Gaming,197399,,,,,,,,,,,,,
MSI,GL62M 7REX,8,SSD + HDD,128+1024,Intel,7th Gen i7,2,NVIDIA GeForce GTX 1050 Ti,2.2,15.6,Windows,Gaming,103499,,,,,,,,,,,,,
MSI,GP72VR Leopard,8,SSD + HDD,128+1024,Intel,7th Gen i7,3,NVIDIA GeForce GTX 1060,2.7,17.3,Windows,Gaming,129999,,,,,,,,,,,,,
MSI,GP62 7RDX,16,SSD + HDD,256+1024,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050,2.4,15.6,Windows,Gaming,112499,,,,,,,,,,,,,
MSI,GV62M 7RD,8,SSD,256,Intel,7th Gen i5,4,NVIDIA GeForce GTX 1050,2.2,15.6,Windows,Gaming,86000,,,,,,,,,,,,,
MSI,GL72M 7REX,8,SSD + HDD,128+1024,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.7,17.3,Windows,Gaming,115499,,,,,,,,,,,,,
MSI,GS63VR 7RF,16,SSD + HDD,256+1024,Intel,7th Gen i7,6,NVIDIA GeForce GTX 1060,1.8,15.6,Windows,Gaming,175000,,,,,,,,,,,,,
MSI,GS43VR 7RE,16,SSD + HDD,256+1024,Intel,7th Gen i7,6,NVIDIA GeForce GTX 1060,1.6,14,Windows,Gaming,164500,,,,,,,,,,,,,
MSI,GL62M,8,SSD + HDD,128+1024,Intel,7th Gen i5,2,NVIDIA GeForce GTX 1050,2.2,15.6,Windows,Gaming,94799,,,,,,,,,,,,,
MSI,GE72MVR 7RG,16,SSD + HDD,512+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,2.9,17.3,Windows,Gaming,210000,,,,,,,,,,,,,
MSI,GL62M 7RD,8,SSD,256,Intel,7th Gen i5,2,NVIDIA GeForce GTX 1050,2.4,15.6,Windows,Gaming,104300,,,,,,,,,,,,,
MSI,GS73VR Stealth,16,SSD + HDD,512+2048,Intel,6th Gen i7,6,NVIDIA GeForce GTX 1060,2.43,17.3,Windows,Gaming,230499,,,,,,,,,,,,,
MSI,GE72VR 6RF,16,SSD + HDD,256+1024,Intel,7th Gen i7,6,NVIDIA GeForce GTX 1050 Ti,2.7,17.3,Windows,Gaming,139000,,,,,,,,,,,,,
MSI,GL62M 7RD,8,SSD + HDD,128+1024,Intel,7th Gen i5,2,NVIDIA GeForce GTX 1050,2.2,15.6,Windows,Gaming,97499,,,,,,,,,,,,,
MSI,GP62M Leopard,8,SSD + HDD,128+1024,Intel,7th Gen i7,2,NVIDIA GeForce GTX 1050,2.2,15.6,Windows,Gaming,104000,,,,,,,,,,,,,
MSI,GL72M 7RDX,8,SSD + HDD,128+1024,Intel,7th Gen i7,2,NVIDIA GeForce GTX 1050,2.7,17.3,Windows,Gaming,104000,,,,,,,,,,,,,
MSI,GT72S Dominator,16,SSD + HDD,256+1024,Intel,6th Gen i7,4,NVIDIA GeForce GTX 980M,3.78,17.3,Windows,Gaming,132499,,,,,,,,,,,,,
MSI,GT62VR 6RD,16,SSD + HDD,256+1024,Intel,6th Gen i7,6,NVIDIA GeForce GTX 1060,2.94,15.6,Windows,Gaming,159000,,,,,,,,,,,,,
MSI,GS63VR 6RF,16,SSD + HDD,256+1024,Intel,6th Gen i7,6,NVIDIA GeForce GTX 1060,1.8,15.6,Windows,Gaming,167499,,,,,,,,,,,,,
MSI,GT72VR Dominator,16,SSD + HDD,256+1024,Intel,7th Gen i7,8,NVIDIA GeForce GTX 1070,3.78,17.3,Windows,Gaming,217499,,,,,,,,,,,,,
MSI,GS70 Stealth,8,SSD,256,Intel,6th Gen i7,2,NVIDIA GeForce GTX 965M,2.6,17.3,Windows,Gaming,130499,,,,,,,,,,,,,
MSI,GE72 Apache,8,SSD + HDD,128+1024,Intel,6th Gen i7,2,NVIDIA GeForce GTX 960M,2.9,17.3,Windows,Gaming,130491,,,,,,,,,,,,,
MSI,GT72S Dominator,16,SSD + HDD,256+1024,Intel,6th Gen i7,8,NVIDIA GeForce GTX 980M,3.78,17.3,Windows,Gaming,200000,,,,,,,,,,,,,
MSI,GP62M 7RDX,8,SSD + HDD,128+1024,Intel,7th Gen i7,2,NVIDIA GeForce GTX 1050,2.4,15.6,Windows,Gaming,99499,,,,,,,,,,,,,
MSI,GP72M 7REX,16,SSD + HDD,256+1024,Intel,7th Gen i7,4,NVIDIA GeForce GTX 1050 Ti,2.7,17.3,Windows,Gaming,124499,,,,,,,,,,,,,
